Company,Region,Country,Sector,Industry,ESG,E,G,S,GC,ROA 2022,ROA 2021,ROA 2020
"Hengli Petrochemical Co., Ltd.",Asia,China,Process Industries,Chemicals: Specialty,52.81,55.97,47.73,51.41,61.09,4.6,7.5,4.7
"Beijing TongRenTang Co., Ltd.",Asia,China,Health Technology,Pharmaceuticals: Major,47.69,48.42,42.89,49.19,55.19,4.1,3.2,4.3
Banco Bradesco SA,South America,Brazil,Finance,Major Banks,56.25,64.65,51.18,55.82,69.2,9.4,7.8,2
China Railway Construction Corp. Ltd.,Asia,China,Industrial Services,Engineering & Construction,46.8,49.9,43.68,45.09,66,5.6,3.5,4.7
"Postal Savings Bank of China Co., Ltd.",Asia,China,Finance,Major Banks,49.26,59.5,50.25,43.88,58.55,2.4,7.4,2.4
"China Shenhua Energy Co., Ltd.",Asia,China,Energy Minerals,Coal,55.09,56.53,51.44,56.09,67.64,5.2,1.3,2.4
Punjab National Bank,Asia,India,Finance,Major Banks,45.79,43.59,44.83,48.54,44.12,4.2,4.7,1
Adani Enterprises Ltd.,Asia,India,Distribution Services,Wholesale Distributors,59.8,63.17,49.38,63.7,57.51,5.9,9.7,3.6
Shree Cement Ltd.,Asia,India,Non-Energy Minerals,Construction Materials,63.14,65.54,60.27,59.88,60.2,7.9,5.4,2.7
"Baoshan Iron & Steel Co., Ltd.",Asia,China,Non-Energy Minerals,Steel,59.54,62.22,56.44,57.05,67.84,4.5,2.5,4.6
China Energy Engineering Corp. Ltd.,Asia,China,Industrial Services,Engineering & Construction,48,52.01,44.23,45.58,59.47,2.5,7.8,7.2
"Power Construction Corporation of China, Ltd.",Asia,China,Industrial Services,Engineering & Construction,47.9,49.67,42.73,49.41,63.2,2.3,4.3,4.6
"Bank of Beijing Co., Ltd.",Asia,China,Finance,Major Banks,47.39,49.93,46.16,47.06,50.92,4.2,2.4,3.7
"East Money Information Co., Ltd.",Asia,China,Technology Services,Internet Software/Services,44.61,42.12,41.57,48.44,40.71,4.6,6.4,0.5
"Zijin Mining Group Co., Ltd.",Asia,China,Non-Energy Minerals,Precious Metals,58.71,62.59,50.4,58.87,61.26,2.6,6.4,0.2
"Advanced Micro Fabrication Equipment, Inc. China",Asia,China,Producer Manufacturing,Industrial Machinery,48.16,48.23,49.2,47.32,59.46,2.4,3.4,0.7
Cipla Ltd.,Asia,India,Health Technology,Pharmaceuticals: Other,55.61,56.5,51.75,56.73,62.59,4.8,6.4,0.2
"Bank of Communications Co., Ltd.",Asia,China,Finance,Regional Banks,51.95,63.33,47.09,50.01,56.87,4.6,4.6,7.5
ANTA Sports Products Ltd.,Asia,China,Consumer Non-Durables,Apparel/Footwear,54.32,56.21,48.95,55.5,57.95,4.8,2.3,3.7
"XP, Inc.",South America,Brazil,Technology Services,Internet Software/Services,45.98,44.27,48.93,44.77,60.96,5.3,6.4,0.9
"Jiangxi Copper Co., Ltd.",Asia,China,Non-Energy Minerals,Other Metals/Minerals,53.53,58.97,45.69,50.55,52.2,6.7,3.7,4.7
"Jiangsu Hengrui Pharmaceuticals Co., Ltd.",Asia,China,Health Technology,Pharmaceuticals: Major,50.09,50.28,48.75,50.52,59.24,3.5,3.7,0.2
"LONGi Green Energy Technology Co., Ltd.",Asia,China,Electronic Technology,Semiconductors,51.68,52.38,49.62,51.72,67.73,4.2,5.4,4.6
"Gree Electric Appliances, Inc. of Zhuhai",Asia,China,Producer Manufacturing,Industrial Machinery,46.36,49.88,43.54,42.23,50,2.8,3.1,8.3
"Guotai Junan Securities Co., Ltd.",Asia,China,Finance,Investment Banks/Brokers,43.46,43.06,45.21,42.27,62.06,3.1,3.8,9.2
Sberbank Russia PJSC,Europe,Russian Federation,Finance,Regional Banks,47.19,55.85,47.8,42.81,55.11,3.5,4.6,6.4
Metallurgical Corp. of China Ltd.,Asia,China,Industrial Services,Engineering & Construction,51.69,52.96,48.93,52.08,61.12,5.7,2.3,7.2
China Communications Construction Co. Ltd.,Asia,China,Industrial Services,Engineering & Construction,55.42,55.2,51.38,58.66,61.46,6.3,5.2,4.7
"Hangzhou Tigermed Consulting Co., Ltd.",Asia,China,Commercial Services,Miscellaneous Commercial Services,51.83,48.41,58.79,50.33,62.16,5.1,3.7,5.4
Dongfang Electric Corp. Ltd.,Asia,China,Producer Manufacturing,Electrical Products,47.01,49.34,45.78,43.69,54.8,3.5,2.4,6.2
"Shenzhen Inovance Technology Co., Ltd.",Asia,China,Producer Manufacturing,Industrial Machinery,47.29,46.22,46.96,49.63,66.5,5.2,6.4,3.7
"Huizhou Desay SV Automotive Co., Ltd.",Asia,China,Producer Manufacturing,Auto Parts: OEM,43.04,45.04,42.76,41.15,61.42,4.6,2.7,5.9
Tianqi Lithium Corp.,Asia,China,Process Industries,Chemicals: Specialty,51.86,51.79,57.5,46.87,63.67,5.7,4.2,2.4
Wipro Ltd.,Asia,India,Technology Services,Information Technology Services,57.38,64.69,58.02,51.51,62.92,4.8,7.8,7.2
"B3 SA-Brasil, Bolsa, Balcão",South America,Brazil,Finance,Investment Managers,52.46,52.19,51.93,53.17,62.54,5.2,3.5,4.5
"China Shipbuilding Industry Co., Ltd.",Asia,China,Producer Manufacturing,Trucks/Construction/Farm Machinery,42.98,44.77,41.65,40.9,58.62,3.2,4.2,7.2
Divi's Laboratories Ltd.,Asia,India,Health Technology,Pharmaceuticals: Major,52.79,61.03,51.33,50.95,58.72,4.7,1.4,4.5
"Foxconn Industrial Internet Co., Ltd.",Asia,China,Electronic Technology,Telecommunications Equipment,52.72,59.07,57.46,43.37,68.27,7.5,6.5,7.3
"Shanxi Xinghuacun Fen Wine Factory Co., Ltd.",Asia,China,Consumer Non-Durables,Beverages: Alcoholic,44.09,44.98,43.95,42.75,51.77,3.6,3.2,5.8
"Zhejiang Sanhua Intelligent Controls Co., Ltd.",Asia,China,Producer Manufacturing,Industrial Machinery,45.26,46.99,45.94,41.88,48.56,2.3,6.8,3.6
Huadian Power International Corp. Ltd.,Asia,China,Utilities,Electric Utilities,54.98,60.77,49.04,51.91,61.16,5.8,5.7,5
Avenue Supermarts Ltd.,Asia,India,Retail Trade,Specialty Stores,47.96,49.9,44.84,47.24,53.35,3.2,3.9,3.7
"Guosen Securities Co., Ltd.",Asia,China,Finance,Investment Banks/Brokers,44.52,44.46,44.76,44.36,60.82,4.5,2.3,8.2
Coal India Ltd.,Asia,India,Energy Minerals,Coal,58.18,63.1,55.45,53.43,56.44,7.11,5.1,4.5
Bajaj Auto Ltd.,Asia,India,Consumer Durables,Motor Vehicles,51.73,53.37,45.6,53.31,54.21,6.4,5.3,8.2
"Aier Eye Hospital Group Co., Ltd.",Asia,China,Health Services,Medical/Nursing Services,47.59,48.93,46.85,47.21,58.08,2.3,7.1,0.5
JSW Steel Ltd.,Asia,India,Non-Energy Minerals,Steel,63.32,71.92,51.48,57.72,61.02,7.2,8.1,0.3
"WuXi AppTec Co., Ltd.",Asia,China,Health Technology,Pharmaceuticals: Major,55.16,59.7,54.67,54.03,66.17,3.5,5.2,0.8
Cholamandalam Investment & Finance Co. Ltd.,Asia,India,Finance,Finance/Rental/Leasing,49.08,51.54,46.64,49.6,48.96,2.5,7.2,0.4
SAIC Motor Corp. Ltd.,Asia,China,Consumer Durables,Motor Vehicles,44.63,46.68,43.13,42.85,63.34,5.8,2.7,5.2
PhosAgro PJSC,Europe,Russian Federation,Process Industries,Chemicals: Agricultural,57.18,60.02,54.57,54.12,67.13,8.1,2.7,5.4
"Shanghai International Port (Group) Co., Ltd.",Asia,China,Transportation,Other Transportation,46.69,45.23,44.21,52.53,61.31,3.1,3.5,3.5
Vale SA,South America,Brazil,Non-Energy Minerals,Steel,64.03,70.93,59,56.13,56.01,10.2,6.8,6.5
ZTE Corp.,Asia,China,Electronic Technology,Telecommunications Equipment,52.74,53.34,48.84,54.44,66.62,2.4,1.3,1.2
Kotak Mahindra Bank Ltd.,Asia,India,Finance,Major Banks,60.96,71.28,62.02,55.5,60.9,7.2,4.6,3.5
"New China Life Insurance Co., Ltd.",Asia,China,Finance,Multi-Line Insurance,47.35,51.88,42.23,48,45.84,2.4,1.3,2.4
"China Northern Rare Earth (Group) High-Tech Co., Ltd.",Asia,China,Process Industries,Chemicals: Specialty,43.2,43.86,40.48,44.33,59.02,5.3,8.6,6.5
"Daqin Railway Co., Ltd.",Asia,China,Transportation,Railroads,43.49,45.87,44.56,38.28,46.23,2.5,3.6,3.4
"Zhangzhou Pientzehuang Pharmaceutical Co., Ltd.",Asia,China,Health Technology,Pharmaceuticals: Major,47.67,53.34,44.03,47.35,56.85,4.2,3.2,4.2
Kuaishou Technology,Asia,China,Technology Services,Information Technology Services,41.75,48.81,42.47,36.13,56.71,1.4,5.7,2.4
"Anhui Gujing Distillery Co., Ltd.",Asia,China,Consumer Non-Durables,Beverages: Alcoholic,43.6,44.72,43.73,41.78,55.9,2.5,2.4,4.3
"Gongniu Group Co., Ltd.",Asia,China,Producer Manufacturing,Electrical Products,46.59,48.19,46.08,44.01,57.28,4.2,6.4,2.4
