State_District,British,Years Under Occupation,Area (sq. km),Temperature (celsius),Rain (mm),Altitude (m),Road Length Per Capita (m),Rail Length Per Capita (m),% Highschool Educated,% Primary School Educated,Literacy Rate,Lights Per Annum (Intensity Range 1-63 DN),Labor Force Participation Rate,"Infant Mortality Rate (per 1,000 live births)"
Orissa Sambalpur,1,102,17516,26.43,1492.81,241.59,0.98,0.19,0.07,0.17,0.49,1.03,0.43,59.75
Orissa Sundargarh,0,0,9712,26.27,1538.15,318.65,0.87,0.46,0.13,0.2,0.53,1.51,0.39,65
Orissa Kendujhar,0,0,8303,24.66,1507.82,376.9,0.63,0.18,0.07,0.16,0.45,0.78,0.38,60
Orissa Mayurbhanj,0,0,10418,24.44,1560.12,308.34,0.68,0.16,0.06,0.15,0.38,0.36,0.56,55
Orissa Baleshwar,1,144,6311,26.52,1612.24,23.65,0.33,0.13,0.1,0.25,0.59,1.16,0.11,55.5
Orissa Cuttack,1,144,11142,26.76,1624.77,37.25,0.26,0.1,0.12,0.27,0.63,1.97,0.1,57.5
Orissa Dhenkanal,0,0,10827,26.4,1461.7,172.06,0.81,0.06,0.07,0.18,0.53,1.83,0.27,65
Orissa Phulbani,1,92,11119,25.19,1491.5,511.06,1.58,0,0.05,0.14,0.39,0.1,0.55,88
Orissa Balangir,0,0,8913,26.9,1420.79,214.62,0.79,0.26,0.05,0.13,0.4,0.54,0.37,63
Orissa Kalahandi,0,182,11772,26.34,1314.93,380.75,1.04,0.27,0.04,0.1,0.3,0.26,0.43,78
Orissa Koraput,1,182,26961,24.77,1488.5,558.29,1.17,0.23,0.04,0.08,0.23,0.43,0.56,88.25
Orissa Ganjam,1,182,12531,25.87,1371.01,270.72,0.5,0.11,0.07,0.17,0.44,1.16,0.44,79.5
Orissa Puri,1,144,10182,26.92,1448.72,87.95,0.39,0.07,0.11,0.23,0.64,1.6,0.12,62.33
Maharashtra Greater Bombay,1,129,603,26.87,2680.46,33.78,0.01,0,0.4,0.31,0.83,52.72,0.17,45
Maharashtra Thane,1,129,9558,26.47,2467.3,134.01,0.2,0.11,0.29,0.27,0.7,7.31,0.35,50
Maharashtra Raigarh,1,118,7152,26.91,3664.93,140.42,0.61,0.1,0.13,0.28,0.64,7.33,0.54,47
Maharashtra Ratnagiri,1,129,8208,26.34,3420.15,176.16,0.54,0,0.09,0.29,0.63,1.78,0.6,27
Maharashtra Sindhudurg,1,64.5,5207,27.56,3466.04,160.8,1.17,0,0.12,0.39,0.76,1.65,0.61,45
Maharashtra Nashik,1,129,15530,24.34,885.44,597.25,0.43,0.18,0.17,0.26,0.62,5.85,0.56,48
Maharashtra Dhule,1,129,13150,25.6,661.73,332.86,0.71,0.13,0.12,0.23,0.52,3.19,0.6,54.5
Maharashtra Jalgaon,1,129,11765,26.93,773.47,281.6,0.44,0.27,0.16,0.3,0.64,4.98,0.53,51
Maharashtra Ahmadnagar,1,129,17048,24.68,602.39,611.95,0.62,0.07,0.13,0.25,0.61,5.32,0.62,42
Maharashtra Pune,1,129,15643,24.32,811.8,656.98,0.34,0.09,0.25,0.28,0.71,7.32,0.43,38
Maharashtra Satara,1,102,10480,24.19,1057.67,740.85,0.52,0.12,0.15,0.3,0.67,4.91,0.58,40
Maharashtra Sangli,0,0,8572,23.65,1350.71,636.18,0.57,0.18,0.15,0.27,0.63,4.98,0.51,40
Maharashtra Solapur,1,129,14895,26.38,616.15,504.52,0.63,0.3,0.12,0.25,0.56,4.61,0.52,42
Maharashtra Kolhapur,0,0,7685,24.35,1491.06,663.54,0.4,0.05,0.16,0.28,0.67,5.29,0.54,37
Maharashtra Aurangabad,0,0,10107,25.11,698.31,570.92,0.53,0.18,0.15,0.24,0.57,5.39,0.56,47
Maharashtra Jalna,0,0,7718,25.89,781.16,510.97,0.63,0.23,0.07,0.21,0.46,4.11,0.67,49
Maharashtra Parbhani,0,0,11041,26.45,892.31,435.85,0.67,0.39,0.08,0.28,0.48,4.08,0.61,48
Maharashtra Bid,0,0,10693,25.51,720.45,583.57,0.79,0.13,0.09,0.19,0.5,4.03,0.67,41
Maharashtra Nanded,0,0,10528,26.77,1005.7,403.52,0.71,0.13,0.09,0.19,0.48,4.14,0.61,47
Maharashtra Osmanabad,0,0,7569,26.46,782.04,611.94,0.87,0.11,0.1,0.23,0.54,3.63,0.61,43
Maharashtra Latur,0,0,7157,26.01,857.16,595.48,0.59,0.23,0.11,0.39,0.56,4.41,0.61,54
Maharashtra Buldana,1,94,9661,26.25,854.07,450.58,0.65,0.07,0.1,0.3,0.62,4.48,0.66,51
Maharashtra Akola,1,94,10574,26.92,837.35,387.23,0.6,0.33,0.13,0.33,0.66,4.49,0.54,50.5
Maharashtra Amravati,1,94,12210,26.41,906.35,413.56,0.83,0.15,0.15,0.34,0.7,3.78,0.51,44
Maharashtra Yavatmal,1,94,13582,27.28,1039.63,322.89,0.92,0.07,0.11,0.26,0.58,2.21,0.63,56
Maharashtra Wardha,1,105,6309,26.81,1050.15,297.61,1.09,0.26,0.15,0.32,0.7,3.26,0.53,39
Maharashtra Nagpur,1,105,9892,26.63,1186.65,336.64,0.53,0.18,0.24,0.31,0.74,5.18,0.37,48
Maharashtra Bhandara,1,105,9321,26.84,1436.1,295.84,0.77,0.32,0.11,0.28,0.65,2.67,0.71,59
Maharashtra Chandrapur,1,105,11443,27.06,1325.39,231.88,0.96,0.44,0.12,0.25,0.59,2.17,0.59,55
Maharashtra Gadchiroli,1,105,14412,27.1,1577.11,249.77,2.86,0.18,0.06,0.17,0.43,0.53,0.78,62
