Company,Region,Country,Sector,Industry,ESG,E,G,S,GC,ROA 2023,Entity Name,gc_262
China Petroleum & Chemical Corp.,Asia,China,Energy Minerals,Integrated Oil,57.85,65.42,49.04,58.81,57.91,6.90,"NARI Technology Co., Ltd.",62.72
"XCMG Construction Machinery Co., Ltd.",Asia,China,Producer Manufacturing,Trucks/Construction/Farm Machinery,44.06,43.37,41.37,47.03,51.76,5.30,"Citic Pacific Special Steel Group Co., Ltd.",56.75
"Hithink RoyalFlush Information Network Co., Ltd.",Asia,China,Technology Services,Information Technology Services,40.51,43.18,40.47,39.55,43.44,2.10,Gerdau SA,62.92
"Muyuan Foods Co., Ltd.",Asia,China,Process Industries,Agricultural Commodities/Milling,51.07,52.65,44.72,51.05,65.96,3.30,"Jiangsu Hengrui Pharmaceuticals Co., Ltd.",59.24
"ZTO Express (Cayman), Inc.",Asia,China,Transportation,Air Freight/Couriers,52.40,58.00,46.39,51.00,53.56,4.30,"Henan Shuanghui Investment & Development Co., Ltd.",61.23
Adani Ports & Special Economic Zone Ltd.,Asia,India,Transportation,Other Transportation,60.10,61.14,61.20,56.46,62.95,7.60,Godrej Consumer Products Ltd.,69.18
"Bank of Shanghai Co., Ltd.",Asia,China,Finance,Regional Banks,42.49,41.99,43.32,42.16,61.46,4.30,BB Seguridade Participações SA,58.24
"Industrial Bank Co., Ltd.",Asia,China,Finance,Regional Banks,46.24,51.36,45.14,44.62,62.11,6.70,Severstal PAO,65.31
Air China Ltd.,Asia,China,Transportation,Airlines,47.53,51.93,44.58,45.00,61.21,7.60,"Baidu, Inc.",55.99
Surgutneftegas PJSC,Europe,Russian Federation,Energy Minerals,Integrated Oil,51.99,56.00,51.59,45.75,47.80,5.40,"NIO, Inc.",44.70
"Anhui Conch Cement Co., Ltd.",Asia,China,Non-Energy Minerals,Construction Materials,52.48,57.85,45.69,45.68,61.58,3.20,"Tata Power Co., Ltd.",67.69
"Bank of Jiangsu Co., Ltd.",Asia,China,Finance,Regional Banks,42.85,43.59,44.30,41.53,53.71,4.50,Adani Enterprises Ltd.,57.51
Gazprom Neft PJSC,Europe,Russian Federation,Energy Minerals,Oil Refining/Marketing,62.96,68.79,60.96,55.51,63.73,13.20,Luxshare Precision Industry Co. Ltd.,69.38
"Shanghai Baosight Software Co., Ltd.",Asia,China,Technology Services,Packaged Software,39.50,43.37,43.79,33.83,53.18,4.10,Hindustan Zinc Ltd.,66.16
"Hua Xia Bank Co., Ltd.",Asia,China,Finance,Major Banks,51.68,52.77,46.93,54.38,55.98,3.50,Infosys Ltd.,70.44
Ambev SA,South America,Brazil,Consumer Non-Durables,Beverages: Alcoholic,58.88,60.13,56.52,58.04,58.97,3.20,"ZTO Express (Cayman), Inc.",53.56
